Zone,Sub-Registrar-Office,Village,Street Name,Land Classification,Year,Price
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2016,131
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2017,131
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2017,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2018,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2019,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2020,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2021,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2022,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2023,88
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2023,101
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,Residential Grade - V Category - III,2024,101
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2012,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2013,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2014,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2015,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2016,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2017,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2017,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2018,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2019,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2020,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2021,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2022,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2023,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2023,226
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,,2024,226
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2012,200
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2013,200
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2014,200
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2015,200
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2016,200
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2017,200
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2017,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2018,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2019,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2020,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2021,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2022,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2023,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2023,226
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,Residential Grade II - I,2024,226
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2012,1200
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2013,1200
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2014,1200
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2015,1200
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2016,1200
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2017,1200
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2017,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2018,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2019,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2020,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2021,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2022,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2023,804
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2023,109
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,Commercial Area Grade I Category - II,2024,109
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2012,640
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2013,640
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2014,640
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2015,640
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2016,640
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2017,640
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2017,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2018,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2019,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2020,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2021,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2022,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2023,429
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2023,570
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ANNANAGAR MAIN ROAD,Residential Grade - IV Category - I,2024,570
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2012,470
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2013,470
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2014,470
