Zone,Sub-Registrar-Office,Village,Street Name,YEAR 2012-2017,YEAR 2017-2023,YEAR 2023-2024,Land Classification
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,470.0,315.0,418.0,Residential Grade - IV Category - III
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,ALANGANALLUR ROAD,1200.0,804.0,109.0,Commercial Area Grade I Category - II
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,VIVEKANANDA STREET,900.0,603.0,801.0,Residential Special Category - II
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,VINCENT NAGAR,560.0,375.0,498.0,Residential Grade III - I
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,VAIGAI RIVER STREET,640.0,429.0,570.0,Residential Grade - IV Category - I
,,,,,,,
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,VIVEKANANDAR STREET,320.0,214.0,226.0,
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,THAHDCO COLONY,131.0,88.0,101.0,Residential Grade - V Category - III
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,PERUMAL KOVIL STREET,170.0,114.0,140.0,Residential Grade III - I
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,NETHAJI STREET,320.0,214.0,226.0,Residential Special Category - II
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,KAMARAJAR NAGAR,320.0,214.0,226.0,Residential Special Category - II
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,225.0,151.0,226.0,Residential Grade I - I
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,320.0,214.0,226.0,Residential Special Category - II
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,KUMARAN STREET,225.0,151.0,226.0,Residential Grade I - I
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,MELAVALI ROAD,225.0,151.0,226.0,Residential Grade I - I
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,WEST FORT CROSS STREET,200.0,151.0,226.0,Residential Grade II - I
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,SAROJINI STREET,225.0,151.0,226.0,Residential Grade I - I
,,,,,,,
Madurai,Madurai South Joint I,VILLAPURAM STREET,K.A.S.SEKAR APARTMENT,600.0,402.0,700.0,Residential Class I Type - I
Madurai,Madurai South Joint I,VILLAPURAM STREET,MANIKANDAN NAGAR,500.0,335.0,700.0,Residential Class II Type - I
Madurai,Madurai South Joint I,VILLAPURAM STREET,NAMASIVAYA NAGAR,500.0,335.0,700.0,Residential Class II Type - I
Madurai,Madurai South Joint I,VILLAPURAM STREET,VELU PILLAI STREET,400.0,268.0,700.0,Residential Class II Type - II
Madurai,Madurai South Joint I,VILLAPURAM STREET,NORTH STREET,400.0,268.0,700.0,Residential Class II Type - II
Madurai,Madurai South Joint I,VILLAPURAM STREET,MUTHUSAMY PILLAI STREET,400.0,268.0,700.0,Residential Class II Type - II
Madurai,Madurai South Joint I,VILLAPURAM STREET,RAJAN COMPOUND,500.0,335.0,700.0,Residential Class II Type - I
Madurai,Madurai South Joint I,VILLAPURAM STREET,MARIAPPA PILLAI STREET,400.0,268.0,700.0,Residential Class II Type - II
Madurai,Madurai South Joint I,VILLAPURAM STREET,MELA PUDU STREET,500.0,335.0,700.0,Residential Class II Type - I
Madurai,Madurai South Joint I,VILLAPURAM STREET,TAMIL NADU HOUSING BOARD,600.0,1000.0,1100.0,Residential Class I Type - I
,,,,,,,
Madurai,Madurai South Joint I,Town Suryvey Ward 1,D.D.ROAD BANGAJAM COLONY,1500.0,1340.0,2000.0,Residential Special Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,VANDIYUR,800.0,536.0,800.0,Residential Class II Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,THIYAGARAJAR COLLEGE LANE,1500.0,1005.0,1500.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,THEPPAKULAM THERKU THERU,1500.0,1005.0,1500.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,THEPPAKULAM ROAD,1800.0,1230.0,2000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,THEPPAKULAM METTU STREET,1500.0,1005.0,1500.0,Residential Class I Type - I
